,Unnamed: 0,symbol,company,sector,industry,headquarters
340,340,NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York"
341,341,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida"
342,342,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York"
343,343,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
344,344,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana"
345,345,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
346,346,JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington"
347,347,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia"
348,348,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
349,349,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
350,350,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona"
351,351,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
352,352,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey"
353,353,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina"
354,354,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California"
355,355,NVR,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA"
356,356,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri"
357,357,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
358,358,ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina"
359,359,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York"
360,360,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
361,361,ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California"
362,362,OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut"
363,363,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington"
364,364,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois"
365,365,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio"
366,366,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York"
367,367,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma"
368,368,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California"
369,369,PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK"
370,370,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
371,371,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York"
372,372,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts"
373,373,PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland"
374,374,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York"
375,375,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York"
376,376,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas"
377,377,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona"
378,378,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas"
379,379,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
380,380,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania"
381,381,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania"
382,382,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa"
383,383,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio"
384,384,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
385,385,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California"
386,386,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey"
387,387,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey"
388,388,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California"
389,389,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
390,390,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
391,391,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina"
392,392,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas"
393,393,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California"
394,394,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey"
395,395,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
396,396,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida"
397,397,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
398,398,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California"
399,399,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida"
400,400,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York"
401,401,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama"
402,402,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona"
403,403,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California"
404,404,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California"
405,405,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin"
406,406,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia"
407,407,ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida"
408,408,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California"
409,409,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
410,410,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York"
411,411,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California"
412,412,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida"
413,413,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
414,414,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
415,415,SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina"
416,416,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California"
417,417,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California"
418,418,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
419,419,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana"
420,420,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts"
421,421,SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York"
422,422,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin"
423,423,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia"
424,424,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas"
425,425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut"
426,426,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington"
427,427,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
428,428,STE,STERIS plc,Health Care,Health Care Equipment,"Dublin, Ireland"
429,429,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan"
430,430,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California"
431,431,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut"
432,432,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California"
433,433,SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas"
434,434,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington"
435,435,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
436,436,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York"
437,437,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
438,438,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota"
439,439,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
440,440,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom"
441,441,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania"
442,442,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas"
443,443,TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island"
444,444,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts"
445,445,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
446,446,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts"
447,447,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee"
448,448,TT,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland"
449,449,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio"
450,450,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York"
451,451,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina"
452,452,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California"
453,453,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas"
454,454,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado"
455,455,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois"
456,456,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota"
457,457,UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
458,458,UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland"
459,459,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska"
460,460,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois"
461,461,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota"
462,462,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia"
463,463,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut"
464,464,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania"
465,465,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee"
466,466,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina"
467,467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas"
468,468,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California"
469,469,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois"
470,470,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia"
471,471,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey"
472,472,VZ,Verizon Communications,"Communication Services
",Integrated Telecommunication Services,"New York, New York"
473,473,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts"
474,474,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York"
475,475,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California"
476,476,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York"
477,477,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama"
478,478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut"
479,479,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania"
480,480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas"
481,481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois"
482,482,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California"
483,483,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas"
484,484,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts"
485,485,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin"
486,486,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California"
487,487,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio"
488,488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California"
489,489,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado"
490,490,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia"
491,491,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington"
492,492,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan"
493,493,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
494,494,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom"
495,495,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada"
496,496,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota"
497,497,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut"
498,498,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California"
499,499,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York"
500,500,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky"
501,501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois"
502,502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana"
503,503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah"
504,504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey"
